"country","gdp_percap","gdp_growth","agr_gdp","ind_gdp","srv_gdp","trade_gdp","invest_gdp","credit_gdp","inflation"
"Luxembourg",104147.1739928,0.35861253942069,0.20948876007365,9.65986766346083,81.1809383770858,351.267921153192,15.8427821306684,85.1436082593373,2.05113269954859
"Ireland",94474.9879707069,2.59946721553708,1.02114448018423,33.6325795420542,60.5635643631863,246.169874857401,18.2483791335529,23.7845375555383,2.11344999577317
"Norway",79667.5272314776,2.09723059960317,2.07595111116756,36.9541773996335,51.8077568320554,81.3635091827243,24.1355030571877,128.868380631512,3.14530134431073
"Denmark",60772.8624276041,3.47783593140312,0.927722262099888,24.1417253330521,63.5495635161649,131.765030975207,23.2065036119904,144.093102209921,1.37220049768918
"Iceland",59307.1777759714,-0.970676468918384,3.98201137564491,20.0940830059377,64.8920846344191,85.9671932681303,26.1116569910227,90.9015313312732,5.85683849970066
"Sweden",54209.9474264877,0.820071806703865,1.4222920532684,21.6861135924505,66.4283744913472,105.883091480464,25.3566898119593,125.521881964807,2.83581658224034
"Netherlands",51178.5256968147,1.08100584845663,1.72968455863421,17.5234908357454,70.4906816195514,153.83065216636,19.6654844408571,82.3320940898509,3.34754304219953
"United Kingdom",47960.9105761942,1.1264226705118,0.638070794582258,17.1246523065486,72.4462431770253,62.8401605267118,19.1197244388535,112.661832187589,3.2715729463592
"Austria",45958.8250071261,-0.659089573171372,1.21663375792448,24.5834201904085,63.9706809373681,108.825777834405,23.5771489456415,81.7652651021229,2.93791574279383
"Finland",45254.0358658917,0.416171964862073,2.46735975474973,22.7842138257665,62.2144997698967,83.4601015353507,22.2812478484434,92.0344393994847,1.56568906231616
"Belgium",45045.6601021398,1.07045413019414,0.791636827597192,18.7357058631394,70.9861225353144,158.931826338067,24.4957130083941,68.0983723586982,3.14349136500041
"France",39683.3953489029,1.19046798275883,1.29979455802577,17.2101481972036,70.9141844211851,68.1081875443744,21.5139121721262,107.58266062477,1.99904942291463
"Italy",34495.2545799636,0.692676948440536,1.99727734716288,22.3316588315233,65.0483624576143,62.8237685119526,22.5774286224244,60.3701258499539,0.982373023061417
"Cyprus",32617.216796875,3.94077381708404,1.15512812146527,11.1357928688814,76.4769046707826,190.40287092076,20.6775296375465,56.6577631532363,1.80023018624815
"Spain",29245.2192451729,3.45525405630191,2.75300596488807,19.4537517327028,68.9025484059134,69.9502612382631,21.1732200987249,74.2192017963659,2.77417826534772
"Slovenia",26134.627203987,1.73139722479493,1.53730419088458,29.0665685208903,57.9394382652417,155.657928684474,21.5339676972715,35.4165073993057,1.96562656432512
"Portugal",22647.3791895579,2.13967177177636,2.02167120867754,18.6896910617551,66.2769355054703,89.696408854026,20.3671429506228,77.2131206543744,2.41613187791884
"Greece",21494.6856060599,2.0865743380603,3.765512541308,14.9985220031197,68.0104871945665,89.7765279446168,18.2925535607175,48.5410004453358,2.74149045788606
"Czechia",20445.432830127,1.23308611983484,1.89923535118143,29.2098380644386,60.1721452763251,131.484981069952,26.3044257488365,48.0283310281007,2.43531202435314
"Estonia",20078.1397620993,-0.0900428648493801,1.76684782957851,20.148164473251,65.6971144966199,151.037702410455,24.5542382524843,60.5354220304166,3.52056053296586
"Slovak Republic",19776.1758069498,1.93867445549446,1.58278262269337,28.9374799550748,59.9609861243037,171.212800151635,20.1257200812979,59.6509018833935,2.75760909424272
"Lithuania",19092.6451176955,2.77263124530285,2.57325294659349,23.394637462385,63.5886178536833,143.04839086338,20.4124317092532,35.9687269117612,0.715735835228723
"Poland",18000.5034591285,3.02841630700273,2.54032372848325,27.2480779716168,59.1475357964785,100.359442847164,17.8032326864165,33.5857900188097,3.7842600751287
"Croatia",17854.2091012685,3.82688702890739,2.89588951437996,19.1915825783267,60.8374324880176,104.912326073253,24.409099144064,46.8609410119769,2.97200477643618
"Hungary",16518.6369936397,0.560117843140432,2.71112134044753,23.693891331248,59.5231534203363,146.504561505902,23.4595838132325,32.4386581915965,3.70370370370369
"Latvia",16374.773539624,-0.0461080109713521,4.04219078834273,18.4909914229206,64.6029356314433,132.262507895925,20.8942490906585,29.5395677827529,1.26579885828729
"Turkiye",15395.0278894893,3.3276230893799,5.82042467876951,25.5035682450148,57.5212773580131,54.5988061195916,30.7311559549208,43.0192369465191,58.5064507300343
"Romania",12459.9112061891,0.916003764382594,2.81143528363417,25.2544803034454,62.5509064348212,77.2149837939003,24.9970256084173,22.7281195412098,5.72140574354439
"Kazakhstan",11872.7842626298,4.99999999996936,3.88229151651226,32.112807813811,57.9427973400804,57.1613431963924,27.2119249591734,27.2796795779653,8.83943897452672
"Bulgaria",10126.8980075708,3.38709063847314,2.35105625712058,21.1316956323365,63.7625806598714,110.22631455921,20.4299085537289,47.067902488525,2.44651943006079
"Serbia",8580.26105823259,3.94992622592932,3.17227014092271,23.0721503113166,58.7832317170655,111.725028388916,25.0264449793479,32.6365244902661,4.6705297488997
"Montenegro",8540.00828913129,3.16409886329913,3.49344410359799,12.1791547564628,63.7695853263977,109.944104480975,25.880193688808,45.2736633073804,3.33675009282281
"Georgia",6808.07398025981,9.67979387500691,5.48544272121412,19.5837398345335,61.9845889346039,103.456471449056,24.4998956373299,68.0816024992946,1.10971758022096
"Bosnia and Herzegovina",6730.26828824205,2.9715174617652,4.53391375315725,22.4260971974355,56.5588566046908,95.1562957108171,27.479854363065,48.2673852259527,1.69212733599724
"North Macedonia",6628.84686594032,2.99373536567732,6.08292801881823,24.0675864525462,56.2488933827217,136.324876175556,30.5962109009491,53.9265036277025,3.48974086026947
"Albania",6549.23387415397,4.04592845095348,15.4519031294331,22.4011031082403,48.6899937474805,79.4546360752224,24.9514965978049,34.0597809059347,2.21587375089999
"Azerbaijan",5871.14373251952,4.07140205008956,5.65717090005303,42.6119822379825,42.3163443805061,82.6898691594703,21.0824224099037,26.394691931299,2.21217188919901
"Kosovo",5631.68223392136,4.5730971681166,7.33520637426488,25.8029423102749,45.6806471652704,113.789651964133,33.9651432750713,61.0018810149884,1.61944994559476
"Armenia",5378.31799981682,5.90000000046228,7.80588621754673,22.8570663651858,61.9893697453885,150.064726588742,23.8327452429021,64.3799433173924,0.269511978259125
"Uzbekistan",3890.41593075015,6.49999999997677,18.325982693232,31.8097631182563,45.1918282895449,60.7274403812997,33.2966957187478,33.1994355366732,9.62825465956682
"Moldova",3851.51202518347,0.103059364371205,7.10653748230631,16.7804760610209,62.2659566789328,88.6661154286831,21.1312285971513,29.3318123812675,4.67773516007052
